BehaviorSpace results (NetLogo 5.0.4),,,,,,,,,,,,,,,,num-cliques,social-butterflies?,,,,infection-chance
Safe_Sex_Attitudes_and_Behaviors-modelingcommons-tue.nlogo,,,,min-pxcor,max-pxcor,,,,,,,,,,,5,FALSE,,,,30
infect-1-5cliquesof7-4friends-nobutterflies-femalesymp,,,,-15,15,,,,,,,,,,,clique-size,,avg-female-condom-intention,,,symptomatic?
06/23/2013 20:20:59:378 -0700,,,,min-pycor,max-pycor,,,,,,,,,,,7,,80,,,"""females-symptomatic?"""
,,,,-15,15,,,,,,,,,,,avg-num-friends,,avg-male-condom-intention,,,show-labels?
,,,,,,,,,,,,,,,,4,,20,,,FALSE
,,,,,,,,,,,,,,,,,,,,,
[run number],%-receive-condom-sex-ed,avg-mesosystem-condom-encouragement,[step],%infected,%M-infected,%F-infected,avg-safe-sex-likelihood,avg-attitude,avg-justification,avg-certainty,,avg-male-safe-sex-likelihood,avg-female-safe-sex-likelihood,avg-male-attitude,avg-female-attitude,avg-male-justification,avg-female-justification,,,avg-male-certainty,avg-female-certainty
125,30,70,434,22.85714286,5.555555556,41.17647059,44.47779451,53.95558028,20,99.99962267,,23.14506155,67.06539412,21.2901231,88.54253494,0,41.17647059,,,100,99.99922315
126,30,80,331,2.857142857,0,5.882352941,38.52986551,50.63113524,2.857142857,99.997673,,23.75476625,54.17408826,22.50953251,80.40694991,0,5.882352941,,,100,99.99520911
127,30,80,294,17.14285714,5.555555556,29.41176471,42.6380561,53.13325507,14.28571429,99.99874693,,23.3470234,63.06385544,21.69404679,86.42182853,0,29.41176471,,,100,99.99742014
128,30,80,386,25.71428571,5.555555556,47.05882353,45.14696605,53.86536068,22.85714286,99.99767725,,23.44398907,68.12658874,21.88797814,87.72376571,0,47.05882353,,,100,99.99521786
129,30,80,313,20,5.555555556,35.29411765,44.87715382,55.22195205,19.0647112,99.99845815,,26.48401229,64.35224486,26.09955536,86.0574309,3.736938442,35.29411765,,,100,99.9968256
130,30,80,403,2.857142857,0,5.882352941,38.59559108,50.76261073,2.857142857,99.99835652,,23.60288295,54.47022321,22.2057659,80.99926995,0,5.882352941,,,99.99680435,100
131,30,90,276,17.14285714,5.555555556,29.41176471,42.99574306,53.84862897,14.28571429,99.99977743,,23.19145219,63.96499221,21.38290438,88.22410206,0,29.41176471,,,100,99.99954177
132,30,90,209,2.857142857,0,5.882352941,38.45278178,50.16737567,3.476375782,99.99761212,,24.10705153,53.64237852,22.61207104,79.34358058,1.204064021,5.882352941,,,99.9953569,100
133,30,90,297,22.85714286,5.555555556,41.17647059,44.1176559,53.23531179,20,99.99758286,,22.78333174,66.7069403,20.56666348,87.8256453,0,41.17647059,,,99.9953,100
134,30,90,258,2.857142857,0,5.882352941,38.46336946,50.4981675,2.857142857,99.99728467,,24.0400868,53.73508052,23.08017359,79.52898458,0,5.882352941,,,100,99.99440962
135,30,90,340,22.85714286,5.555555556,41.17647059,43.91057706,52.82115413,20,99.99720678,,23.00041208,66.05075175,21.00082416,86.5132682,0,41.17647059,,,100,99.99424926
136,40,10,911,37.14285714,5.555555556,70.58823529,49.12581531,56.10877347,34.28571429,99.99974917,,23.53315381,76.22392749,22.06630761,92.15373733,0,70.58823529,,,100,99.99948359
137,40,10,923,2.857142857,0,5.882352941,38.17871195,49.92885246,2.857142857,99.99877484,,23.66311665,53.54816579,22.32623329,79.15515512,0,5.882352941,,,100,99.99747762
138,40,10,924,42.85714286,5.555555556,82.35294118,52.78181893,60.56363787,40,99.99831346,,26.20343833,80.92363369,27.40687666,95.67079679,0,82.35294118,,,100,99.99652771
139,40,10,922,2.857142857,0,5.882352941,38.00845555,49.58833967,2.857142857,99.99794299,,24.02505189,52.81441236,23.05010379,77.68764824,0,5.882352941,,,100,99.99576498
140,40,10,911,2.857142857,0,5.882352941,38.27101466,50.11345789,2.857142857,99.9959206,,25.30268278,52.00218959,25.60536556,76.06320271,0,5.882352941,,,99.9969051,99.9948782
141,40,20,834,31.42857143,5.555555556,58.82352941,47.83689012,56.38806594,28.57142857,99.99955052,,24.20493896,72.85895604,23.40987792,91.30614738,0,58.82352941,,,99.999126,100
142,40,20,838,2.857142857,0,5.882352941,39.01579908,51.60302672,2.857142857,99.99983395,,26.22058084,52.5636772,27.44116169,77.18617794,0,5.882352941,,,99.99967713,100
143,40,20,843,14.28571429,5.555555556,23.52941176,42.20384451,53.07688216,12.66161373,99.99876494,,25.77954704,59.59427712,25.36030297,82.42384837,2.397582247,23.52941176,,,100,99.99745722
144,40,20,844,2.857142857,0,5.882352941,39.08173782,51.73490421,2.857142857,99.99967886,,25.46113219,53.50355555,25.92226437,79.06593463,0,5.882352941,,,100,99.99933883
145,40,20,845,20,5.555555556,35.29411765,43.27085317,52.97027777,17.14285714,99.99783996,,24.95082322,62.66853195,24.90164644,82.69000507,0,35.29411765,,,99.99579993,100
146,40,30,741,20,5.555555556,35.29411765,44.86847095,55.59795089,18.27798202,99.99779801,,26.52269858,64.2934064,26.94180353,85.93975397,2.207187254,35.29411765,,,100,99.9954665
147,40,30,737,34.28571429,5.555555556,64.70588235,48.98366167,57.25303763,31.42857143,99.99718232,,25.25854786,74.10437042,25.51709572,90.85579966,0,64.70588235,,,99.99452117,100
148,40,30,771,2.857142857,0,5.882352941,38.35862414,50.28867684,2.857142857,99.99899655,,24.54546379,52.98432333,24.09092757,78.02747019,0,5.882352941,,,100,99.99793408
149,40,30,748,25.71428571,5.555555556,47.05882353,46.50984892,56.28324414,23.47290739,99.99944669,,26.33292604,67.87364961,27.06719211,87.21788746,1.197319934,47.05882353,,,99.99892411,100
150,40,30,747,34.28571429,5.555555556,64.70588235,49.92894584,59.08434881,31.54708575,99.99732674,,26.38967745,74.85287708,27.66413264,92.35281298,0.230444515,64.70588235,,,99.9984404,99.99614757
151,40,40,672,25.71428571,5.555555556,47.05882353,46.70363001,56.20932282,24.39587439,99.99954397,,27.18953978,67.3656079,27.88309056,86.20180404,2.991977988,47.05882353,,,100,99.99906111
152,40,40,672,2.857142857,0,5.882352941,38.45721236,50.48585328,2.857142857,99.99911148,,24.22153232,53.53028533,23.44306464,79.11939419,0,5.882352941,,,100,99.99817069
153,40,40,690,25.71428571,5.555555556,47.05882353,46.72858261,56.5146275,23.88507544,99.99870866,,27.44944123,67.14179113,28.89950355,85.7541705,1.998757809,47.05882353,,,99.99748905,100
154,40,40,694,2.857142857,0,5.882352941,40.32163313,54.21469483,2.857142857,99.9978961,,27.69698482,53.68890782,30.39396963,79.43663916,0,5.882352941,,,99.99590909,100
155,40,40,688,22.85714286,5.555555556,41.17647059,45.35699929,55.71399859,20,99.99721663,,24.47113905,67.47143955,23.9422781,89.35464381,0,41.17647059,,,100,99.99426953
156,40,50,582,2.857142857,0,5.882352941,38.65891709,50.88926275,2.857142857,99.9991045,,25.80793927,52.26583478,26.61587854,76.59049309,0,5.882352941,,,100,99.99815632
157,40,50,603,2.857142857,0,5.882352941,38.03483144,49.64109145,2.857142857,99.99806816,,23.87266432,53.03006722,22.74532864,78.11895796,0,5.882352941,,,100,99.99602269
158,40,50,609,25.71428571,5.555555556,47.05882353,46.45648792,56.23929908,23.34735352,99.99880827,,25.59883392,68.54106274,25.72107415,88.55271371,0.953187397,47.05882353,,,99.99768274,100
159,40,50,578,2.857142857,0,5.882352941,38.83937848,51.25018553,2.857142857,99.99920502,,24.59449946,53.92219156,24.18899891,79.90320665,0,5.882352941,,,100,99.99836328
160,40,50,607,2.857142857,0,5.882352941,38.96113254,51.49369365,2.857142857,99.99981119,,24.02999872,54.77056834,23.05999745,81.59996022,0,5.882352941,,,100,99.99961127
161,40,60,549,2.857142857,0,5.882352941,37.69540755,48.96224368,2.857142857,99.99743832,,23.59174058,52.62870199,22.18348116,77.31622752,0,5.882352941,,,100,99.99472595
162,40,60,498,22.85714286,5.555555556,41.17647059,44.10713505,53.21427011,20,99.99828568,,23.60142664,65.81906161,22.20285327,86.04988793,0,41.17647059,,,99.9966666,100
163,40,60,499,2.857142857,0,5.882352941,38.02826367,49.62795592,2.857142857,99.99807585,,23.97690773,52.90616997,22.95381546,77.87116347,0,5.882352941,,,99.99625861,100
164,40,60,507,2.857142857,0,5.882352941,39.81985094,53.21113045,2.857142857,99.99880102,,26.17259479,54.26988687,27.34518958,80.59859726,0,5.882352941,,,100,99.99753152
165,40,60,513,20,5.555555556,35.29411765,43.19570477,52.81998098,17.14285714,99.99664767,,24.21084497,63.29732104,23.42168993,83.94758326,0,35.29411765,,,100,99.99309814
166,40,70,434,20,5.555555556,35.29411765,43.31461737,53.05780617,17.14285714,99.99802568,,24.72395309,62.99885014,24.44790618,83.35064145,0,35.29411765,,,100,99.99593522
167,40,70,488,20,5.555555556,35.29411765,43.38999015,53.20855174,17.14285714,99.99873608,,23.71904361,64.2180512,22.43808722,85.78904358,0,35.29411765,,,99.99754237,100
168,40,70,513,20,5.555555556,35.29411765,43.70115777,53.83088698,17.14285714,99.99997718,,23.57471671,65.01150714,22.14943342,87.37595545,0,35.29411765,,,99.99995563,100
169,40,70,465,22.85714286,5.555555556,41.17647059,45.39213303,55.449782,20.66896813,99.99922067,,25.32389117,66.64085971,24.99739666,87.69348412,1.300771367,41.17647059,,,100,99.99839549
170,40,70,403,14.28571429,5.555555556,23.52941176,41.25822768,51.80216965,11.42857143,99.99746527,,24.51442441,58.98696055,24.02884882,81.20921522,0,23.52941176,,,100,99.99478144
171,40,80,417,2.857142857,0,5.882352941,38.28248959,50.13640775,2.857142857,99.99898881,,23.75019612,53.66962385,22.50039224,79.39807123,0,5.882352941,,,100,99.99791815
172,40,80,328,2.857142857,0,5.882352941,39.8911243,53.35367717,2.857142857,99.99828919,,26.25240246,54.33212389,27.50480491,80.72307132,0,5.882352941,,,100,99.99647774
173,40,80,351,20,5.555555556,35.29411765,44.36580324,54.36319796,18.7367769,99.99746639,,25.36523754,64.48404927,24.18083087,86.32099842,3.099288417,35.29411765,,,100,99.99478374
174,40,80,441,25.71428571,5.555555556,47.05882353,46.11912417,54.7800826,24.9163315,99.99862747,,26.5815989,66.80591565,26.16120884,85.08241953,4.003977909,47.05882353,,,100,99.9971742
175,40,80,336,22.85714286,5.555555556,41.17647059,44.19057117,53.20739421,20.34749624,99.99753522,,24.91790124,64.59692756,24.49795891,83.60561983,0.675687134,41.17647059,,,100,99.99492545
176,40,90,232,2.857142857,0,5.882352941,38.8467528,51.26493417,2.857142857,99.9972883,,24.69553361,53.83039665,24.39106722,79.71961683,0,5.882352941,,,100,99.99441709
177,40,90,351,2.857142857,0,5.882352941,38.18013583,49.93170023,2.857142857,99.99998426,,23.23597567,54.00336424,21.47195134,80.065552,0,5.882352941,,,100,99.9999676
178,40,90,261,17.14285714,5.555555556,29.41176471,43.27424026,53.79085406,15.51525293,99.99834516,,25.12133014,62.49496864,24.04727548,85.28405492,2.390769587,29.41176471,,,100,99.99659297
179,40,90,286,17.14285714,5.555555556,29.41176471,41.53717487,50.93149259,14.28571429,99.99763263,,22.65374395,61.53139583,20.30748791,83.35690931,0,29.41176471,,,100,99.99512601
180,40,90,307,17.14285714,5.555555556,29.41176471,41.92589177,51.70892639,14.28571429,99.99806698,,22.66859468,62.31597104,20.33718936,84.92605972,0,29.41176471,,,100,99.99602025
181,50,10,921,2.857142857,0,5.882352941,39.0968842,51.76519697,2.857142857,99.99912486,,25.14810788,53.86617678,25.29621576,79.79117708,0,5.882352941,,,100,99.99819825
182,50,10,915,2.857142857,0,5.882352941,38.81415618,51.19974093,2.857142857,99.99994288,,25.9466537,52.43857056,26.89330741,76.93596465,0,5.882352941,,,100,99.9998824
183,50,10,929,34.28571429,5.555555556,64.70588235,47.42514765,56.37269043,31.42857143,99.99748287,,23.93555594,72.29648005,22.87111188,91.84495007,0,64.70588235,,,99.99510559,100
184,50,10,923,31.42857143,5.555555556,58.82352941,49.91386002,60.04225772,29.57092463,99.9981537,,27.94229546,73.17786954,29.91285865,91.94397438,1.943464556,58.82352941,,,99.99640997,100
185,50,10,923,2.857142857,0,5.882352941,39.49629605,52.56402068,2.857142857,99.99832962,,25.64612763,54.16118026,26.29225527,80.38118405,0,5.882352941,,,99.99675204,100
186,50,20,845,28.57142857,5.555555556,52.94117647,47.65566773,57.45419259,25.71428571,99.99819662,,26.61443484,69.93462019,28.22886968,88.39865215,0,52.94117647,,,99.99649342,100
187,50,20,857,2.857142857,0,5.882352941,39.04474589,51.66092036,2.857142857,99.99880215,,25.46484519,53.42346428,25.92969038,78.90575209,0,5.882352941,,,100,99.99753384
188,50,20,845,25.71428571,5.555555556,47.05882353,46.41887574,56.29580985,23.08388329,99.99936075,,26.20670747,67.8199951,27.19297285,87.11057843,0.440884168,47.05882353,,,99.99875701,100
189,50,20,833,2.857142857,0,5.882352941,38.61596519,50.80335895,2.857142857,99.9961644,,24.02178107,54.06863073,23.04356214,80.19608499,0,5.882352941,,,99.9949356,99.99746548
190,50,20,835,22.85714286,5.555555556,41.17647059,45.34448918,55.68896492,20,99.99903339,,24.6965152,67.20704986,24.3930304,88.82583676,0,41.17647059,,,100,99.99800993
191,50,30,766,2.857142857,0,5.882352941,38.92417614,51.41978086,2.857142857,99.99738345,,26.8244537,51.73564697,28.6489074,75.53011747,0,5.882352941,,,100,99.99461299
192,50,30,765,2.857142857,0,5.882352941,39.17323825,51.91790506,2.857142857,99.99771928,,26.21143131,52.89750442,27.42286261,77.85383237,0,5.882352941,,,100,99.99530439
193,50,30,748,22.85714286,5.555555556,41.17647059,45.25073686,55.50147373,20,99.99748431,,26.92838269,64.65087658,28.85676538,83.71351786,0,41.17647059,,,99.99510838,100
194,50,30,759,2.857142857,0,5.882352941,39.9328495,53.43712757,2.857142857,99.99872347,,25.80752091,54.88907977,26.61504183,81.83698307,0,5.882352941,,,99.99751786,100
195,50,30,742,28.57142857,5.555555556,52.94117647,49.15813392,60.08618472,26.46016625,99.99817155,,29.43448713,70.04199524,33.14381262,88.61340224,1.450323264,52.94117647,,,99.99644467,100
196,50,40,680,2.857142857,0,5.882352941,37.95388434,49.47919726,2.857142857,99.99728193,,24.4441247,52.25833574,23.88824939,76.575495,0,5.882352941,,,99.99471486,100
197,50,40,652,2.857142857,0,5.882352941,38.57294478,50.71731814,2.857142857,99.99993846,,26.05799268,51.82407054,27.11598535,75.70696461,0,5.882352941,,,99.99988034,100
198,50,40,650,2.857142857,0,5.882352941,37.73347497,49.0383785,2.857142857,99.99790053,,23.93251365,52.34625754,22.8650273,76.7513386,0,5.882352941,,,99.9959177,100
199,50,40,671,2.857142857,0,5.882352941,39.12273997,51.81690852,2.857142857,99.99770105,,25.61509836,53.42494874,26.23019671,78.90872102,0,5.882352941,,,100,99.99526687
200,50,40,671,2.857142857,0,5.882352941,38.77983124,51.13109104,2.857142857,99.99902783,,25.05308772,53.31403026,25.10617543,78.68688404,0,5.882352941,,,99.99810968,100
201,50,50,584,2.857142857,0,5.882352941,38.5385614,50.64855137,2.857142857,99.99870592,,24.97872983,52.89603011,24.95745967,77.85088375,0,5.882352941,,,100,99.99733573
202,50,50,658,2.857142857,0,5.882352941,38.55342103,50.67827063,2.857142857,99.99749067,,26.14150186,51.69545308,27.28300373,75.4497297,0,5.882352941,,,100,99.99483374
203,50,50,602,25.71428571,5.555555556,47.05882353,48.61674182,60.3793041,23.70835908,99.99934932,,29.77614811,68.56560575,33.7247249,88.60179973,1.655142646,47.05882353,,,99.9987348,100
204,50,50,563,2.857142857,0,5.882352941,38.71588577,51.00320012,2.857142857,99.99984842,,25.09740118,53.1354577,25.19480236,78.32973893,0,5.882352941,,,100,99.99968792
205,50,50,589,22.85714286,5.555555556,41.17647059,45.7354456,55.90669339,21.12839561,99.99767406,,27.47909054,65.06570389,28.8611298,84.54317249,2.194102569,41.17647059,,,99.99547734,100
206,50,60,532,25.71428571,5.555555556,47.05882353,46.73200391,56.73126857,23.46544911,99.9980822,,26.76840845,67.86992851,27.94537947,87.21044526,1.18281772,47.05882353,,,99.99627093,100
207,50,60,505,22.85714286,5.555555556,41.17647059,45.36962302,55.73924605,20,99.99991,,24.99157987,66.9463746,24.98315974,88.3045139,0,41.17647059,,,100,99.99981471
208,50,60,502,20,5.555555556,35.29411765,44.40470098,55.23797339,17.14285714,99.99719689,,25.20873399,64.7298425,25.41746797,86.81262618,0,35.29411765,,,100,99.99422888
209,50,60,536,2.857142857,0,5.882352941,39.20471468,51.98085793,2.857142857,99.99918426,,25.31866659,53.90758913,25.63733317,79.87400179,0,5.882352941,,,99.99841385,100
210,50,60,520,28.57142857,5.555555556,52.94117647,48.67729781,59.21907976,26.27103174,99.9988228,,27.33368044,71.2764221,29.12608001,91.08225596,1.082561719,52.94117647,,,100,99.99757636
211,50,70,419,17.14285714,5.555555556,29.41176471,42.36585507,52.588853,14.28571429,99.99838006,,25.67340763,60.04021118,26.34681526,80.37454001,0,29.41176471,,,99.99685012,100
212,50,70,406,20,5.555555556,35.29411765,42.81521423,52.0589999,17.14285714,99.9994354,,23.50054774,63.26603758,22.00109548,83.88501633,0,35.29411765,,,100,99.99883758
213,50,70,435,14.28571429,5.555555556,23.52941176,43.10779853,54.9446148,12.5419645,99.99749519,,26.32128184,60.88175737,26.5600982,84.99880885,2.164930969,23.52941176,,,99.99512953,100
214,50,70,424,17.14285714,5.555555556,29.41176471,43.93955951,55.39069607,14.97683344,99.99752178,,27.65306531,61.18408279,29.63420921,82.66227038,1.343842804,29.41176471,,,100,99.99489778
215,50,70,391,17.14285714,5.555555556,29.41176471,43.63991375,54.66480719,15.23004062,99.99858265,,26.76841315,61.50385555,27.61873126,83.30182875,1.836190089,29.41176471,,,99.99724404,100
216,50,80,296,2.857142857,0,5.882352941,38.20487104,49.98117065,2.857142857,99.99749232,,24.84652964,52.34899723,24.69305927,76.75681799,0,5.882352941,,,99.99512395,100
217,50,80,375,17.14285714,5.555555556,29.41176471,41.99560959,51.84836203,14.28571429,99.99985784,,23.71386642,61.35274941,22.42773285,82.99961646,0,29.41176471,,,100,99.99970731
218,50,80,416,20,5.555555556,35.29411765,43.31922241,53.06701624,17.14285714,99.99969346,,23.35210728,64.46087372,21.70421455,86.27468862,0,35.29411765,,,100,99.99936888
219,50,80,328,11.42857143,5.555555556,17.64705882,41.66890652,53.29493944,10.08572335,99.999895,,26.17705464,58.07204381,25.88187824,82.32053366,2.944462076,17.64705882,,,100,99.99978382
220,50,80,343,17.14285714,5.555555556,29.41176471,42.91630713,53.68975712,14.28571429,99.99773483,,25.05468802,61.82860973,25.10937603,83.9513371,0,29.41176471,,,99.9955955,100
221,50,90,264,2.857142857,0,5.882352941,38.40210678,50.37564213,2.857142857,99.99965419,,23.64025857,54.032299,22.28051715,80.12342153,0,5.882352941,,,99.99932759,100
222,50,90,249,20,5.555555556,35.29411765,43.62652431,52.85796967,18.79015138,99.99985932,,23.69317998,64.73241831,20.7848239,86.81777107,3.203072137,35.29411765,,,100,99.99971037
223,50,90,269,17.14285714,5.555555556,29.41176471,43.23920447,53.80095897,15.35489992,99.99733566,,24.45131715,63.13226163,22.86314825,86.5586409,2.078972074,29.41176471,,,100,99.9945146
224,50,90,264,2.857142857,0,5.882352941,38.85949626,51.29042109,2.857142857,99.99758429,,23.39174223,55.23711817,21.78348447,82.53305986,0,5.882352941,,,100,99.99502648
225,50,90,328,17.14285714,5.555555556,29.41176471,42.28270387,52.42255059,14.28571429,99.9982365,,23.59240193,62.07243534,22.18480385,84.43898832,0,29.41176471,,,100,99.99636926
226,60,10,915,22.85714286,5.555555556,41.17647059,45.16942601,55.33885203,20,99.99841869,,24.8139745,66.72225702,24.62794901,87.85627875,0,41.17647059,,,99.99692523,100
227,60,10,920,22.85714286,5.555555556,41.17647059,46.12550256,56.57717886,21.34765254,99.99748612,,27.055875,66.31687292,27.80153226,87.04551055,2.620435487,41.17647059,,,100,99.99482436
228,60,10,921,2.857142857,0,5.882352941,38.8151511,51.20173077,2.857142857,99.99763295,,27.37597788,50.92721685,29.75195577,73.91325723,0,5.882352941,,,99.9953974,100
229,60,10,912,2.857142857,0,5.882352941,37.94887849,49.46918554,2.857142857,99.99730127,,24.54119996,52.14524398,24.08239992,76.3493115,0,5.882352941,,,99.99475246,100
230,60,10,918,2.857142857,0,5.882352941,37.9912898,49.55400817,2.857142857,99.99978613,,25.34179268,51.38487498,25.68358537,74.82857348,0,5.882352941,,,99.99958413,100
231,60,20,841,2.857142857,0,5.882352941,37.91324168,49.39791194,2.857142857,99.99826983,,25.56404857,50.98885791,26.12809715,74.03653936,0,5.882352941,,,99.99663578,100
232,60,20,858,17.14285714,5.555555556,29.41176471,43.86041465,54.69844075,16.04477708,99.99766271,,28.08930874,60.55923267,29.46841753,81.41258298,3.420399885,29.41176471,,,99.99545526,100
233,60,20,836,2.857142857,0,5.882352941,38.40295922,50.37734702,2.857142857,99.99898492,,25.68423543,51.86984324,26.36847086,75.79851001,0,5.882352941,,,100,99.99791013
234,60,20,842,2.857142857,0,5.882352941,38.70067493,50.97277843,2.857142857,99.99718492,,25.87005562,52.28603655,26.74011123,76.63089663,0,5.882352941,,,99.99452623,100
235,60,20,845,22.85714286,5.555555556,41.17647059,45.34702745,55.2589134,20.870283,99.99973689,,26.81508217,64.96908716,27.78405587,84.34993902,1.692216943,41.17647059,,,99.99948841,100
236,60,30,754,25.71428571,5.555555556,47.05882353,47.1990549,57.62060504,23.55498627,99.99871129,,26.47692562,69.14013297,27.27539237,89.75083023,1.356917744,47.05882353,,,100,99.99734676
237,60,30,772,2.857142857,0,5.882352941,39.72827399,53.02797654,2.857142857,99.99782025,,27.82776906,52.32880862,30.65553811,76.71644077,0,5.882352941,,,99.99576159,100
238,60,30,769,2.857142857,0,5.882352941,38.87773527,51.3268991,2.857142857,99.99875268,,26.1468698,52.35747517,27.2937396,76.77377387,0,5.882352941,,,100,99.99743198
239,60,30,764,2.857142857,0,5.882352941,38.81789351,51.2072156,2.857142857,99.99897033,,26.66391613,51.68681074,28.32783227,75.432445,0,5.882352941,,,100,99.99788009
240,60,30,760,2.857142857,0,5.882352941,39.25701464,52.08545784,2.857142857,99.99770843,,28.12226627,51.0467482,31.24453253,74.15231994,0,5.882352941,,,99.99554416,100
241,60,40,707,2.857142857,0,5.882352941,37.72639575,49.02422008,2.857142857,99.99722273,,26.24627219,49.8818207,27.49254439,71.82246492,0,5.882352941,,,100,99.99428208
242,60,40,656,22.85714286,5.555555556,41.17647059,45.70685093,56.15542947,20.51649298,99.99826616,,27.65762749,64.81779339,29.81310903,84.04729817,1.004291899,41.17647059,,,100,99.99643033
243,60,40,679,22.85714286,5.555555556,41.17647059,45.50850982,56.01346711,20.00710506,99.99723224,,27.33679599,64.74914799,29.66668429,83.91006069,0.013815386,41.17647059,,,99.99461824,100
244,60,40,645,31.42857143,5.555555556,58.82352941,47.31860747,55.35150066,28.57142857,99.99547376,,24.73207496,71.23375955,24.46414991,88.05575439,0,58.82352941,,,99.99466003,99.99633535
245,60,40,711,31.42857143,5.555555556,58.82352941,47.90074226,56.51577022,28.57142857,99.99865105,,26.40885545,70.65685769,27.8177109,86.90195068,0,58.82352941,,,100,99.99722275
246,60,50,626,22.85714286,5.555555556,41.17647059,44.50535183,54.01070366,20,99.99727907,,26.0578871,64.03796154,27.11577421,82.48768779,0,41.17647059,,,99.9947093,100
247,60,50,567,2.857142857,0,5.882352941,39.11105096,51.79353048,2.857142857,99.99822327,,25.70589459,53.30474594,26.41178917,78.6683154,0,5.882352941,,,99.99654526,100
248,60,50,580,20,5.555555556,35.29411765,43.95241304,54.33339751,17.14285714,99.99994261,,26.64134061,62.28178385,28.28268123,81.91650888,0,35.29411765,,,100,99.99988184
249,60,50,605,2.857142857,0,5.882352941,38.39338514,50.35819886,2.857142857,99.99805055,,26.04816714,51.46479244,27.09633427,74.98840841,0,5.882352941,,,100,99.99598643
250,60,50,575,2.857142857,0,5.882352941,38.97019457,51.51181771,2.857142857,99.99844894,,25.97185401,52.73314339,26.94370802,77.52511031,0,5.882352941,,,100,99.99680665
251,60,60,543,2.857142857,0,5.882352941,39.16584927,51.90312711,2.857142857,99.99837963,,26.38941464,52.69383887,27.77882929,77.44650128,0,5.882352941,,,100,99.99666394
252,60,60,536,2.857142857,0,5.882352941,39.930188,53.43180457,2.857142857,99.99844282,,26.64605386,53.9957418,28.29210771,80.05030712,0,5.882352941,,,99.99697216,100
253,60,60,522,20,5.555555556,35.29411765,45.20392308,55.84743651,19.12081929,99.9992672,,28.04988761,63.36701946,29.17675646,84.08698009,3.846037513,35.29411765,,,99.99857511,100
254,60,60,491,17.14285714,5.555555556,29.41176471,45.1096615,57.60798662,15.22267275,99.9975113,,30.45311835,60.62835424,34.99530487,81.55082612,1.82186368,29.41176471,,,100,99.9948762
255,60,60,487,20,5.555555556,35.29411765,44.26429805,54.95716752,17.14285714,99.99793526,,26.10860864,63.48796918,27.21721727,84.32887955,0,35.29411765,,,99.99598523,100
256,60,70,483,20,5.555555556,35.29411765,44.03617738,54.36433324,17.41604304,99.99733812,,25.90634711,63.23246825,26.54709683,83.81787767,0.531194794,35.29411765,,,99.99482413,100
257,60,70,428,14.28571429,5.555555556,23.52941176,42.97591048,54.55031341,12.8030151,99.99993474,,28.56276244,58.23689075,30.78926021,79.70907562,2.672529353,23.52941176,,,99.99987311,100
258,60,70,405,2.857142857,0,5.882352941,39.88763192,53.34669242,2.857142857,99.99972662,,26.53894583,54.02153485,28.07789165,80.10189322,0,5.882352941,,,100,99.99943716
259,60,70,445,2.857142857,0,5.882352941,39.39975619,52.37094096,2.857142857,99.99875909,,26.35144457,53.21561557,27.70288913,78.49005466,0,5.882352941,,,100,99.99744519
260,60,70,402,25.71428571,5.555555556,47.05882353,45.67408688,54.91960233,22.85714286,99.99948231,,23.95657162,68.66910303,22.91314325,88.8087943,0,47.05882353,,,100,99.99893416
261,60,80,421,2.857142857,0,5.882352941,38.33275168,50.23693193,2.857142857,99.99818364,,24.1180423,53.38362043,23.23608461,78.8260644,0,5.882352941,,,100,99.99626044
262,60,80,381,17.14285714,5.555555556,29.41176471,42.95255886,53.76226058,14.28571429,99.99987402,,23.66027777,63.37968002,22.32055554,87.05347769,0,29.41176471,,,100,99.99974063
263,60,80,380,25.71428571,5.555555556,47.05882353,45.26454192,54.1005124,22.85714286,99.99840625,,24.04865807,67.72841893,23.09731614,86.92742609,0,47.05882353,,,99.99690104,100
264,60,80,340,11.42857143,5.555555556,17.64705882,40.78432695,52.28293962,8.571428571,99.99752774,,24.60354976,57.91691456,24.20709952,82.01029971,0,17.64705882,,,99.99519283,100
265,60,80,355,22.85714286,5.555555556,41.17647059,45.27097827,55.3819301,20.32005287,99.99752623,,26.19529459,65.46876098,27.07942668,85.34928666,0.622325017,41.17647059,,,100,99.99490695
266,60,90,236,20,5.555555556,35.29411765,43.69386553,53.30404655,18.16736903,99.99976832,,24.5888704,63.92268391,23.18168757,85.19830899,1.992106446,35.29411765,,,99.99954952,100
267,60,90,225,2.857142857,0,5.882352941,38.64209358,50.85561573,2.857142857,99.99768377,,23.60256788,54.56629726,22.20513576,81.19141804,0,5.882352941,,,99.99549622,100
268,60,90,272,14.28571429,5.555555556,23.52941176,40.6052598,50.49623389,11.42857143,99.99904689,,23.36698826,58.85754732,21.73397652,80.95038876,0,23.52941176,,,100,99.99803771
269,60,90,327,2.857142857,0,5.882352941,38.18721216,49.94585289,2.857142857,99.99853744,,23.310779,53.93872962,21.621558,79.93628277,0,5.882352941,,,100,99.99698885
270,60,90,194,2.857142857,0,5.882352941,38.25683363,50.08509583,2.857142857,99.99753451,,23.82722159,53.53524638,22.65444318,79.12931629,0,5.882352941,,,99.99520599,100
271,70,10,920,2.857142857,0,5.882352941,38.2969427,50.16531397,2.857142857,99.99943627,,24.59255386,52.80747206,24.18510771,77.67376765,0,5.882352941,,,100,99.99883937
