BehaviorSpace results (NetLogo 5.0.4),,,,,,,,,,,,,,,,num-cliques,social-butterflies?,,,,infection-chance
Safe_Sex_Attitudes_and_Behaviors-modelingcommons-tue.nlogo,,,,min-pxcor,max-pxcor,,,,,,,,,,,5,FALSE,,,,30
infect-1-5cliquesof7-4friends-nobutterflies-femalesymp,,,,-15,15,,,,,,,,,,,clique-size,,avg-female-condom-intention,,,symptomatic?
06/23/2013 20:20:59:378 -0700,,,,min-pycor,max-pycor,,,,,,,,,,,7,,80,,,"""females-symptomatic?"""
,,,,-15,15,,,,,,,,,,,avg-num-friends,,avg-male-condom-intention,,,show-labels?
,,,,,,,,,,,,,,,,4,,20,,,FALSE
,,,,,,,,,,,,,,,,,,,,,
[run number],%-receive-condom-sex-ed,avg-mesosystem-condom-encouragement,[step],%infected,%M-infected,%F-infected,avg-safe-sex-likelihood,avg-attitude,avg-justification,avg-certainty,,avg-male-safe-sex-likelihood,avg-female-safe-sex-likelihood,avg-male-attitude,avg-female-attitude,avg-male-justification,avg-female-justification,,,avg-male-certainty,avg-female-certainty
30,10,60,496,2.857142857,0,5.882352941,38.15243795,49.87630446,2.857142857,99.99940259,,23.00183821,54.19424943,21.00367643,80.44732238,0,5.882352941,,,100,99.99877004
31,10,70,479,2.857142857,0,5.882352941,38.03791957,49.6472677,2.857142857,99.99987721,,23.45379308,53.47993584,21.90758617,79.01869521,0,5.882352941,,,99.99976125,100
32,10,70,416,2.857142857,0,5.882352941,37.79925255,49.16993367,2.857142857,99.99922922,,24.18172801,52.21780794,23.36345602,76.49443942,0,5.882352941,,,100,99.9984131
33,10,70,435,14.28571429,5.555555556,23.52941176,41.13395202,51.55361833,11.42857143,99.99731235,,23.15497441,60.17051655,21.30994882,83.57632722,0,23.52941176,,,100,99.9944666
34,10,70,407,17.14285714,5.555555556,29.41176471,42.51368523,52.88451332,14.28571429,99.99737749,,23.55202699,62.59073514,22.10405397,85.47558792,0,29.41176471,,,99.99490068,100
35,10,70,425,2.857142857,0,5.882352941,38.40053196,50.3724925,2.857142857,99.99987401,,23.119268,54.58069381,21.238536,81.22021115,0,5.882352941,,,100,99.99974062
36,10,80,352,2.857142857,0,5.882352941,37.72204238,49.01551333,2.857142857,99.99994321,,22.83722335,53.482439,20.6744467,79.02370154,0,5.882352941,,,99.99988958,100
37,10,80,391,2.857142857,0,5.882352941,38.24458253,50.06059363,2.857142857,99.99715445,,23.08850084,54.29219844,21.17700167,80.64322041,0,5.882352941,,,99.99446698,100
38,10,80,325,2.857142857,0,5.882352941,38.30072519,50.17287895,2.857142857,99.99967896,,22.80734031,54.70548565,20.61468061,81.46979484,0,5.882352941,,,100,99.99933903
39,10,80,388,17.14285714,5.555555556,29.41176471,42.89784337,52.9358057,15.71976206,99.99882869,,24.98154506,61.86804158,23.568877,84.0302008,2.788426227,29.41176471,,,100,99.99758849
40,10,80,381,14.28571429,5.555555556,23.52941176,42.21167619,52.98944482,12.86781512,99.99911253,,24.46074053,61.00678454,22.52221635,85.24886321,2.798529408,23.52941176,,,100,99.99817286
41,10,90,305,2.857142857,0,5.882352941,38.35522462,50.2818778,2.857142857,99.99992295,,22.64877271,54.98558545,20.29754543,82.02999443,0,5.882352941,,,99.99985018,100
42,10,90,279,20,5.555555556,35.29411765,43.67643437,53.78144017,17.14285714,99.99944926,,23.19617485,65.36141504,21.3923497,88.07577125,0,35.29411765,,,99.99892912,100
43,10,90,266,17.14285714,5.555555556,29.41176471,42.59725891,53.05166067,14.28571429,99.9983178,,22.94562097,63.40487554,20.89124194,87.10386873,0,29.41176471,,,99.99672905,100
44,10,90,197,2.857142857,0,5.882352941,38.36701081,50.3054502,2.857142857,99.99730397,,23.13791524,54.49193554,21.27583048,81.04269461,0,5.882352941,,,99.99475771,100
45,10,90,252,28.57142857,5.555555556,52.94117647,46.32908112,54.80098914,25.71428571,99.99912403,,22.5632446,71.49290802,20.12648921,91.51516553,0,52.94117647,,,100,99.99819654
46,20,10,919,25.71428571,5.555555556,47.05882353,45.62768037,54.8267893,22.85714286,99.99962809,,23.22977858,69.34310578,21.45955716,90.1567998,0,47.05882353,,,99.99927683,100
47,20,10,919,28.57142857,5.555555556,52.94117647,46.57134132,55.28553977,25.71428571,99.99885594,,23.87858947,70.59896092,22.75717894,89.7273336,0,52.94117647,,,100,99.99764458
48,20,10,914,2.857142857,0,5.882352941,38.65960369,50.89063596,2.857142857,99.99846936,,23.70421845,54.49471748,22.40843689,81.0482585,0,5.882352941,,,100,99.99684867
49,20,10,916,28.57142857,5.555555556,52.94117647,47.94607853,57.79304593,26.19822228,99.99796446,,26.32943693,70.83428729,27.18837998,90.19798635,0.940987759,52.94117647,,,99.99966249,99.99616655
50,20,10,920,2.857142857,0,5.882352941,38.458241,50.48791056,2.857142857,99.99937878,,23.35899705,54.44567577,21.71799409,80.95017506,0,5.882352941,,,99.99879207,100
51,20,20,849,2.857142857,0,5.882352941,38.63534828,50.84212512,2.857142857,99.99947817,,24.38027132,53.72895917,23.76054264,79.51674187,0,5.882352941,,,99.99898533,100
52,20,20,847,25.71428571,5.555555556,47.05882353,45.36006859,54.29156574,22.85714286,99.99794445,,23.35803926,68.65633493,21.71607852,88.7832581,0,47.05882353,,,100,99.99576799
53,20,20,849,25.71428571,5.555555556,47.05882353,45.6266718,54.82477217,22.85714286,99.99715664,,24.00462379,68.52060499,23.00924757,88.51179821,0,47.05882353,,,100,99.99414602
54,20,20,830,31.42857143,5.555555556,58.82352941,46.91067981,54.53564534,28.57142857,99.99957502,,23.08590955,72.13690714,21.17181911,89.86204958,0,58.82352941,,,99.99917366,100
55,20,20,842,2.857142857,0,5.882352941,37.99098199,49.55339256,2.857142857,99.99728252,,23.3156493,53.52956955,21.63129859,79.11796263,0,5.882352941,,,100,99.9944052
56,20,30,784,2.857142857,0,5.882352941,38.49688132,50.56519121,2.857142857,99.99829234,,24.91719187,52.87537603,24.83438374,77.80957559,0,5.882352941,,,99.99667956,100
57,20,30,748,2.857142857,0,5.882352941,37.34134728,48.25412312,2.857142857,99.99938753,,22.8367901,52.6991137,20.6735802,77.45705092,0,5.882352941,,,99.99880908,100
58,20,30,766,22.85714286,5.555555556,41.17647059,44.31270193,53.62540385,20,99.99769741,,23.19582722,66.67174574,21.39165443,87.75525618,0,41.17647059,,,99.99552274,100
59,20,30,768,2.857142857,0,5.882352941,37.77686359,49.12515576,2.857142857,99.9980972,,23.34808097,53.05439813,21.69616195,78.1676198,0,5.882352941,,,100,99.99608248
